Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,595112103,MU ,"12,464,876","642,190,411.52",0.558,Micron Technology Inc,Common Stock,Information Technology,06/30/2020
QQQ,47215P106,JD ,"10,404,229","626,126,501.22",0.544,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,06/30/2020
QQQ,038222105,AMAT ,"10,271,531","620,914,048.95",0.539,Applied Materials Inc,Common Stock,Information Technology,06/30/2020
QQQ,452327109,ILMN ,"1,647,524","610,160,513.40",0.530,Illumina Inc,Common Stock,Health Care,06/30/2020
QQQ,126408103,CSX ,"8,579,058","598,303,504.92",0.519,CSX Corp,Common Stock,Industrials,06/30/2020
QQQ,052769106,ADSK ,"2,456,515","587,573,822.85",0.510,Autodesk Inc,Common Stock,Information Technology,06/30/2020
QQQ,58733R102,MELI ,"557,104","549,176,410.08",0.477,MercadoLibre Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,512807108,LRCX ,"1,626,887","526,232,869.02",0.457,Lam Research Corp,Common Stock,Information Technology,06/30/2020
QQQ,032654105,ADI ,"4,129,217","506,407,172.88",0.440,Analog Devices Inc,Common Stock,Information Technology,06/30/2020
QQQ,09062X103,BIIB ,"1,828,970","489,340,923.50",0.425,Biogen Inc,Common Stock,Health Care,06/30/2020
QQQ,98980L101,ZM ,"1,877,868","476,114,652.72",0.413,Zoom Video Communications Inc,Common Stock,Information Technology,06/30/2020
QQQ,500754106,KHC ,"13,693,766","436,694,197.74",0.379,Kraft Heinz Co/The,Common Stock,Consumer Staples,06/30/2020
QQQ,550021109,LULU ,"1,393,224","434,699,820.24",0.377,Lululemon Athletica Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,285512109,EA ,"3,235,552","427,254,641.60",0.371,Electronic Arts Inc,Common Stock,Communication Services,06/30/2020
QQQ,252131107,DXCM ,"1,035,004","419,590,621.60",0.364,DexCom Inc,Common Stock,Health Care,06/30/2020
QQQ,931427108,WBA ,"9,831,479","416,756,394.81",0.362,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,06/30/2020
QQQ,278642103,EBAY ,"7,875,318","413,060,429.10",0.359,eBay Inc,Common Stock,Consumer Discretionary,06/30/2020
QQQ,61174X109,MNST ,"5,901,473","409,090,108.36",0.355,Monster Beverage Corp,Common Stock,Consumer Staples,06/30/2020
QQQ,30161N101,EXC ,"10,920,727","396,313,182.83",0.344,Exelon Corp,Common Stock,Utilities,06/30/2020
QQQ,056752108,BIDU ,"3,082,278","369,534,309.42",0.321,Baidu Inc ADR,American Depository Receipt,Communication Services,06/30/2020
QQQ,98389B100,XEL ,"5,885,923","367,870,187.50",0.319,Xcel Energy Inc,Common Stock,Utilities,06/30/2020
